"CODIGO_REFERENCIA ";"CODIGO_TALLA ";"NOMBRE_REFERNCIA ";"REFERNCIA ";"TALLA ";"CANTIDAD "
219;"1 ";;;"N/A ";"4"
219;"2 ";;;"S ";"4"
219;"3 ";;;"M ";"22"
219;"4 ";;;"L ";"22"
219;"5 ";;;"XL ";"22"
219;"6 ";;;"10 ";"22"
219;"7 ";;;"12 ";"22"
219;"8 ";;;"14 ";"22"
219;"9 ";;;"16 ";"22"
219;"10 ";;;"18 ";"22"
219;"11 ";;;"AMARILLO ";"22"
219;"12 ";;;"AZUL REY ";"22"
219;"13 ";;;"ROJO ";"22"
219;"14 ";;;"NARANJA ";"22"
219;"15 ";;;"VERDE ";"22"
219;"16 ";;;"BL X VER ";"22"
219;"17 ";;;"BL X AZU ";"22"
219;"18 ";;;"BL X NEG ";"22"
219;"19 ";;;"BL X ROJ ";"22"
219;"20 ";;;"AZUL OSCURO ";"22"
219;"21 ";;;"NEGRA ";"22"
219;"129 ";;;"VERDE CLARO ";"22"
219;"130 ";;;"BLANCO ";"22"
219;"131 ";;;"BL X AMA ";"22"
219;"132 ";;;"BL X VER CLA ";"22"
220;"1 ";"SUDADERA ";"SUD0001 ";"N/A ";"22"
220;"2 ";"SUDADERA ";"SUD0001 ";"S ";"22"
220;"3 ";"SUDADERA ";"SUD0001 ";"M ";"22"
220;"4 ";"SUDADERA ";"SUD0001 ";"L ";"22"
220;"5 ";"SUDADERA ";"SUD0001 ";"XL ";"22"
220;"6 ";"SUDADERA ";"SUD0001 ";"10 ";"22"
220;"7 ";"SUDADERA ";"SUD0001 ";"12 ";"22"
220;"8 ";"SUDADERA ";"SUD0001 ";"14 ";"22"
220;"9 ";"SUDADERA ";"SUD0001 ";"16 ";"22"
220;"10 ";"SUDADERA ";"SUD0001 ";"18 ";"22"
220;"11 ";"SUDADERA ";"SUD0001 ";"AMARILLO ";"22"
220;"12 ";"SUDADERA ";"SUD0001 ";"AZUL REY ";"22"
220;"13 ";"SUDADERA ";"SUD0001 ";"ROJO ";"22"
220;"14 ";"SUDADERA ";"SUD0001 ";"NARANJA ";"22"
220;"15 ";"SUDADERA ";"SUD0001 ";"VERDE ";"22"
220;"16 ";"SUDADERA ";"SUD0001 ";"BL X VER ";"22"
220;"17 ";"SUDADERA ";"SUD0001 ";"BL X AZU ";"22"
220;"18 ";"SUDADERA ";"SUD0001 ";"BL X NEG ";"22"
220;"19 ";"SUDADERA ";"SUD0001 ";"BL X ROJ ";"22"
220;"20 ";"SUDADERA ";"SUD0001 ";"AZUL OSCURO ";"22"
220;"21 ";"SUDADERA ";"SUD0001 ";"NEGRA ";"22"
220;"129 ";"SUDADERA ";"SUD0001 ";"VERDE CLARO ";"22"
220;"130 ";"SUDADERA ";"SUD0001 ";"BLANCO ";"22"
220;"131 ";"SUDADERA ";"SUD0001 ";"BL X AMA ";"22"
220;"132 ";"SUDADERA ";"SUD0001 ";"BL X VER CLA ";"22"
221;"1 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"N/A ";"22"
221;"2 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"S ";"22"
221;"3 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"M ";"22"
221;"4 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"L ";"22"
221;"5 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"XL ";"22"
221;"6 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"10 ";"22"
221;"7 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"12 ";"22"
221;"8 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"14 ";"22"
221;"9 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"16 ";"22"
221;"10 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"18 ";"22"
221;"11 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"AMARILLO ";"22"
221;"12 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"AZUL REY ";"22"
221;"13 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"ROJO ";"22"
221;"14 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"NARANJA ";"22"
221;"15 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"VERDE ";"22"
221;"16 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"BL X VER ";"22"
221;"17 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"BL X AZU ";"22"
221;"18 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"BL X NEG ";"22"
221;"19 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"BL X ROJ ";"22"
221;"20 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"AZUL OSCURO ";"22"
221;"21 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"NEGRA ";"22"
221;"129 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"VERDE CLARO ";"22"
221;"130 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"BLANCO ";"22"
221;"131 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"BL X AMA ";"22"
221;"132 ";"PANTALON LICRADO MUJER LARGO ";"PLM0001 ";"BL X VER CLA ";"22"
222;"1 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"N/A ";"22"
222;"2 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"S ";"22"
222;"3 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"M ";"22"
222;"4 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"L ";"22"
222;"5 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"XL ";"22"
222;"6 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"10 ";"22"
222;"7 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"12 ";"22"
222;"8 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"14 ";"22"
222;"9 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"16 ";"22"
222;"10 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"18 ";"22"
222;"11 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"AMARILLO ";"22"
222;"12 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"AZUL REY ";"22"
222;"13 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"ROJO ";"22"
222;"14 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"NARANJA ";"22"
222;"15 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"VERDE ";"22"
222;"16 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"BL X VER ";"22"
222;"17 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"BL X AZU ";"22"
222;"18 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"BL X NEG ";"22"
222;"19 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"BL X ROJ ";"22"
222;"20 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"AZUL OSCURO ";"22"
222;"21 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"NEGRA ";"22"
222;"129 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"VERDE CLARO ";"22"
222;"130 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"BLANCO ";"22"
222;"131 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"BL X AMA ";"22"
222;"132 ";"PANTALON LICRADO MUJER 3/4 ";"PLM0002 ";"BL X VER CLA ";"22"
224;"1 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"N/A ";"22"
224;"2 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"S ";"22"
224;"3 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"M ";"22"
224;"4 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"L ";"22"
224;"5 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"XL ";"22"
224;"6 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"10 ";"22"
