CODIGO_REFERENCIA;CODIGO_TALLA;NOMBRE_REFERNCIA;REFERNCIA;TALLA;CANTIDAD
256;1;MEDIA FUTBOL SEMI-PROFESIONAL;MFC0001;N/A;0
271;1;BARRA MANCUERNA;BMG0001;N/A;0
315;1;CANILLERAS;CAN0001;N/A;0
325;2;UEFA REAL HOME;UEFA001;S;0
325;3;UEFA REAL HOME;UEFA001;M;0
325;4;UEFA REAL HOME;UEFA001;L;0
325;5;UEFA REAL HOME;UEFA001;XL;0
326;2;UEFA REAL VISITOR;UEFA002;S;0
326;3;UEFA REAL VISITOR;UEFA002;M;0
326;4;UEFA REAL VISITOR;UEFA002;L;0
326;5;UEFA REAL VISITOR;UEFA002;XL;0
327;2;UEFA BARZA HOME;UEFA003;S;0
327;3;UEFA BARZA HOME;UEFA003;M;0
327;4;UEFA BARZA HOME;UEFA003;L;0
327;5;UEFA BARZA HOME;UEFA003;XL;0
328;2;UEFA BARZA VISITOR;UEFA004;S;0
328;3;UEFA BARZA VISITOR;UEFA004;M;0
328;4;UEFA BARZA VISITOR;UEFA004;L;0
328;5;UEFA BARZA VISITOR;UEFA004;XL;0
329;2;UEFA MANCHESTER HOME;UEFA005;S;0
329;3;UEFA MANCHESTER HOME;UEFA005;M;0
329;4;UEFA MANCHESTER HOME;UEFA005;L;0
329;5;UEFA MANCHESTER HOME;UEFA005;XL;0
330;2;UEFA MANCHESTER VISITOR;UEFA006;S;0
330;3;UEFA MANCHESTER VISITOR;UEFA006;M;0
330;4;UEFA MANCHESTER VISITOR;UEFA006;L;0
330;5;UEFA MANCHESTER VISITOR;UEFA006;XL;0
331;2;UEFA ARSENAL HOME;UEFA007;S;0
331;3;UEFA ARSENAL HOME;UEFA007;M;0
331;4;UEFA ARSENAL HOME;UEFA007;L;0
331;5;UEFA ARSENAL HOME;UEFA007;XL;0
332;2;UEFA ARSENAL VISITOR;UEFA008;S;0
332;3;UEFA ARSENAL VISITOR;UEFA008;M;0
332;4;UEFA ARSENAL VISITOR;UEFA008;L;0
332;5;UEFA ARSENAL VISITOR;UEFA008;XL;0
333;2;UEFA LIVERPOOL HOME;UEFA009;S;0
333;3;UEFA LIVERPOOL HOME;UEFA009;M;0
333;4;UEFA LIVERPOOL HOME;UEFA009;L;0
333;5;UEFA LIVERPOOL HOME;UEFA009;XL;0
334;2;UEFA CHEALSE HOME;UEFA010;S;0
334;3;UEFA CHEALSE HOME;UEFA010;M;0
334;4;UEFA CHEALSE HOME;UEFA010;L;0
334;5;UEFA CHEALSE HOME;UEFA010;XL;0
335;2;UEFA CHEALSE VISITOR;UEFA011;S;0
335;3;UEFA CHEALSE VISITOR;UEFA011;M;0
335;4;UEFA CHEALSE VISITOR;UEFA011;L;0
335;5;UEFA CHEALSE VISITOR;UEFA011;XL;0
336;2;UEFA INTER HOME;UEFA012;S;0
336;3;UEFA INTER HOME;UEFA012;M;0
336;4;UEFA INTER HOME;UEFA012;L;0
336;5;UEFA INTER HOME;UEFA012;XL;0
337;2;UEFA MILAN HOME;UEFA013;S;0
337;3;UEFA MILAN HOME;UEFA013;M;0
337;4;UEFA MILAN HOME;UEFA013;L;0
337;5;UEFA MILAN HOME;UEFA013;XL;0
338;2;UEFA JUVENTUS HOME;UEFA014;S;0
338;3;UEFA JUVENTUS HOME;UEFA014;M;0
338;4;UEFA JUVENTUS HOME;UEFA014;L;0
338;5;UEFA JUVENTUS HOME;UEFA014;XL;0
339;2;UEFA BAYER HOME;UEFA015;S;0
339;3;UEFA BAYER HOME;UEFA015;M;0
339;4;UEFA BAYER HOME;UEFA015;L;0
339;5;UEFA BAYER HOME;UEFA015;XL;0
340;2;UNIFORME UEFA AMARILLO;UEFA016;S;0
340;3;UNIFORME UEFA AMARILLO;UEFA016;M;0
