CODIGO REFERENCIA;CODIGO TALLA;NOMBRE REFERNCIA;REFERNCIA;TALLA;CANTIDAD
219;11;;;AMARILLO;1
219;12;;;AZUL REY;2
219;13;;;ROJO;3
219;14;;;NARANJA;4
219;15;;;VERDE;5
219;16;;;BL X VER;6
219;17;;;BL X AZU;7
219;18;;;BL X NEG;8
219;19;;;BL X ROJ;9
219;20;;;AZUL OSCURO;10
219;21;;;NEGRA;11
219;129;;;VERDE CLARO;12
219;130;;;BLANCO;13
219;131;;;BL X AMA;14
219;132;;;BL X VER CLA;15
220;1;SUDADERA;SUD0001;N/A;16
220;2;SUDADERA;SUD0001;S;17
220;3;SUDADERA;SUD0001;M;18
220;4;SUDADERA;SUD0001;L;19
220;5;SUDADERA;SUD0001;XL;20
220;6;SUDADERA;SUD0001;10;21
220;7;SUDADERA;SUD0001;12;22
220;8;SUDADERA;SUD0001;14;23
220;9;SUDADERA;SUD0001;16;24
220;10;SUDADERA;SUD0001;18;25
220;11;SUDADERA;SUD0001;AMARILLO;26
220;12;SUDADERA;SUD0001;AZUL REY;27
220;13;SUDADERA;SUD0001;ROJO;28
220;14;SUDADERA;SUD0001;NARANJA;29
220;15;SUDADERA;SUD0001;VERDE;30
220;16;SUDADERA;SUD0001;BL X VER;31
220;17;SUDADERA;SUD0001;BL X AZU;32
220;18;SUDADERA;SUD0001;BL X NEG;33
220;19;SUDADERA;SUD0001;BL X ROJ;34
220;20;SUDADERA;SUD0001;AZUL OSCURO;35
220;21;SUDADERA;SUD0001;NEGRA;36
220;129;SUDADERA;SUD0001;VERDE CLARO;37
220;130;SUDADERA;SUD0001;BLANCO;38
220;131;SUDADERA;SUD0001;BL X AMA;39
220;132;SUDADERA;SUD0001;BL X VER CLA;40
221;1;PANTALON LICRADO MUJER LARGO;PLM0001;N/A;41
221;2;PANTALON LICRADO MUJER LARGO;PLM0001;S;42
221;3;PANTALON LICRADO MUJER LARGO;PLM0001;M;43
221;4;PANTALON LICRADO MUJER LARGO;PLM0001;L;44
221;5;PANTALON LICRADO MUJER LARGO;PLM0001;XL;45
221;6;PANTALON LICRADO MUJER LARGO;PLM0001;10;46
221;7;PANTALON LICRADO MUJER LARGO;PLM0001;12;47
221;8;PANTALON LICRADO MUJER LARGO;PLM0001;14;48
221;9;PANTALON LICRADO MUJER LARGO;PLM0001;16;49
221;10;PANTALON LICRADO MUJER LARGO;PLM0001;18;50
221;11;PANTALON LICRADO MUJER LARGO;PLM0001;AMARILLO;51
221;12;PANTALON LICRADO MUJER LARGO;PLM0001;AZUL REY;52
221;13;PANTALON LICRADO MUJER LARGO;PLM0001;ROJO;53
221;14;PANTALON LICRADO MUJER LARGO;PLM0001;NARANJA;54
221;15;PANTALON LICRADO MUJER LARGO;PLM0001;VERDE;55
221;16;PANTALON LICRADO MUJER LARGO;PLM0001;BL X VER;56
221;17;PANTALON LICRADO MUJER LARGO;PLM0001;BL X AZU;57
221;18;PANTALON LICRADO MUJER LARGO;PLM0001;BL X NEG;58
221;19;PANTALON LICRADO MUJER LARGO;PLM0001;BL X ROJ;59
221;20;PANTALON LICRADO MUJER LARGO;PLM0001;AZUL OSCURO;60
221;21;PANTALON LICRADO MUJER LARGO;PLM0001;NEGRA;61
221;129;PANTALON LICRADO MUJER LARGO;PLM0001;VERDE CLARO;62
221;130;PANTALON LICRADO MUJER LARGO;PLM0001;BLANCO;63
221;131;PANTALON LICRADO MUJER LARGO;PLM0001;BL X AMA;64
221;132;PANTALON LICRADO MUJER LARGO;PLM0001;BL X VER CLA;65
222;1;PANTALON LICRADO MUJER 3/4;PLM0002;N/A;66
222;2;PANTALON LICRADO MUJER 3/4;PLM0002;S;67
222;3;PANTALON LICRADO MUJER 3/4;PLM0002;M;68
222;4;PANTALON LICRADO MUJER 3/4;PLM0002;L;69
222;5;PANTALON LICRADO MUJER 3/4;PLM0002;XL;70
222;6;PANTALON LICRADO MUJER 3/4;PLM0002;10;71
222;7;PANTALON LICRADO MUJER 3/4;PLM0002;12;72
222;8;PANTALON LICRADO MUJER 3/4;PLM0002;14;73
222;9;PANTALON LICRADO MUJER 3/4;PLM0002;16;74
222;10;PANTALON LICRADO MUJER 3/4;PLM0002;18;75
222;11;PANTALON LICRADO MUJER 3/4;PLM0002;AMARILLO;76
222;12;PANTALON LICRADO MUJER 3/4;PLM0002;AZUL REY;77
222;13;PANTALON LICRADO MUJER 3/4;PLM0002;ROJO;78
222;14;PANTALON LICRADO MUJER 3/4;PLM0002;NARANJA;79
222;15;PANTALON LICRADO MUJER 3/4;PLM0002;VERDE;80
222;16;PANTALON LICRADO MUJER 3/4;PLM0002;BL X VER;81
222;17;PANTALON LICRADO MUJER 3/4;PLM0002;BL X AZU;82
222;18;PANTALON LICRADO MUJER 3/4;PLM0002;BL X NEG;83
222;19;PANTALON LICRADO MUJER 3/4;PLM0002;BL X ROJ;84
222;20;PANTALON LICRADO MUJER 3/4;PLM0002;AZUL OSCURO;85
222;21;PANTALON LICRADO MUJER 3/4;PLM0002;NEGRA;86
222;129;PANTALON LICRADO MUJER 3/4;PLM0002;VERDE CLARO;87
222;130;PANTALON LICRADO MUJER 3/4;PLM0002;BLANCO;88
222;131;PANTALON LICRADO MUJER 3/4;PLM0002;BL X AMA;89
222;132;PANTALON LICRADO MUJER 3/4;PLM0002;BL X VER CLA;90
224;1;CAMISETA DEPORTIVA MUJER;CDM0001;N/A;91
224;2;CAMISETA DEPORTIVA MUJER;CDM0001;S;92
224;3;CAMISETA DEPORTIVA MUJER;CDM0001;M;93
224;4;CAMISETA DEPORTIVA MUJER;CDM0001;L;94
224;5;CAMISETA DEPORTIVA MUJER;CDM0001;XL;95
224;6;CAMISETA DEPORTIVA MUJER;CDM0001;10;96
224;7;CAMISETA DEPORTIVA MUJER;CDM0001;12;97
224;8;CAMISETA DEPORTIVA MUJER;CDM0001;14;98
224;9;CAMISETA DEPORTIVA MUJER;CDM0001;16;99
224;10;CAMISETA DEPORTIVA MUJER;CDM0001;18;100
224;11;CAMISETA DEPORTIVA MUJER;CDM0001;AMARILLO;101
224;12;CAMISETA DEPORTIVA MUJER;CDM0001;AZUL REY;102
224;13;CAMISETA DEPORTIVA MUJER;CDM0001;ROJO;103
224;14;CAMISETA DEPORTIVA MUJER;CDM0001;NARANJA;104
224;15;CAMISETA DEPORTIVA MUJER;CDM0001;VERDE;105
224;16;CAMISETA DEPORTIVA MUJER;CDM0001;BL X VER;106
224;17;CAMISETA DEPORTIVA MUJER;CDM0001;BL X AZU;107
224;18;CAMISETA DEPORTIVA MUJER;CDM0001;BL X NEG;108
224;19;CAMISETA DEPORTIVA MUJER;CDM0001;BL X ROJ;109
